the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000001E173C28CFA54C07692BB7C69BC4140,89601,0101000020110F00003D16DAAC35D161C1EDC0C1921B215041,89144,>1m <=5m,ATBI DATABASE,,1446873634000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235515,3929290,35.471962,-83.914837,Lake Cheoah-Little Tennessee River,,1968.121338,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446873634000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000004B9E13C49EFA54C05463FDF784BC4140,89594,0101000020110F00007497CEF744D161C16AAC8B3B38215041,89137,>1m <=5m,ATBI DATABASE,,1446873630000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235418,3929386,35.472801,-83.915936,Lake Cheoah-Little Tennessee River,,2122.978027,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446873630000,GRSM,UNR,,6,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000008DCC3562CCFA54C0DD4DE7FF9FBC4140,89567,0101000020110F0000CBA90CB66BD161C1AE3C1F6C54215041,89110,>1m <=5m,ATBI DATABASE,,1446873617000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235168,3929485,35.473626,-83.91872,Chilhowee Lake,,2097.472168,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446873617000,GRSM,UNR,,7,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000BAEDF99CC6FA54C0840CFF51AABC4140,89571,0101000020110F0000C42C6FCF66D161C177CB802F5F215041,89114,>1m <=5m,ATBI DATABASE,,1446873619000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235201,3929519,35.473941,-83.918368,Chilhowee Lake,Cooper Camp Branch,2123.134766,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446873619000,GRSM,UNR,,10,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C9EFAC5ED7FA54C01263437ED0BC4140,89560,0101000020110F0000DC5CAD0A75D161C19BB1E1FE86215041,89103,>1m <=5m,ATBI DATABASE,,1446873613000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235112,3929651,35.475106,-83.919391,Chilhowee Lake,Cooper Camp Branch,2025.034302,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446873613000,GRSM,UNR,,9,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000009145C03F4AFB54C053695EEAF4BD4140,89513,0101000020110F00001375D09BD6D161C11CBD79FAB7225041,89057,>1m <=5m,ATBI DATABASE,,1446873590000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234505,3930660,35.48403,-83.926403,Chilhowee Lake,,2145.195557,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446873590000,GRSM,UNR,,8,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000D51CBEB74FFB54C009067FDBEDBD4140,89512,0101000020110F000032DBD340DBD161C12FC4E39DB0225041,89056,>1m <=5m,ATBI DATABASE,,1446873590000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234474,3930637,35.483815,-83.926736,Chilhowee Lake,,2151.614014,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446873590000,GRSM,UNR,,10,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000A7B7F0D038FB54C024815C9BB3BD4140,89518,0101000020110F000078368CCDC7D161C1C77094DC73225041,89062,>1m <=5m,ATBI DATABASE,,1446873593000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234595,3930436,35.482037,-83.925339,Chilhowee Lake,,2108.902344,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446873593000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000023C9FA6D32FB54C0AC37CCD2B9BD4140,89521,0101000020110F0000CD9FF960C2D161C1BF356D587A225041,89065,>1m <=5m,ATBI DATABASE,,1446873594000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234631,3930456,35.482227,-83.924949,Chilhowee Lake,,2083.352539,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446873594000,GRSM,UNR,,2,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000B3E63C6D11FB54C03CA28D264EBD4140,89534,0101000020110F0000D5C17459A6D161C1E2FFD70B0A225041,89078,>1m <=5m,ATBI DATABASE,,1446873601000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234803,3930086,35.478941,-83.922934,Chilhowee Lake,,2026.297974,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446873601000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C2275EE40CFB54C0565863EF56BD4140,89539,0101000020110F0000925B877FA2D161C1FD4F423513225041,89083,>1m <=5m,ATBI DATABASE,,1446873604000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234829,3930115,35.479209,-83.922658,Chilhowee Lake,,2055.496094,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446873604000,GRSM,UNR,,9,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Acer_rubrum_v_rubrum,Acer  rubrum v. rubrum,337,Red Maple,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Sapindales, , , , ,Aceraceae, ,~,observed, ,day,cert,TVA Powerline Plants
