the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000FD5F7BE7E9ED54C009743F0ACBBB4140,7869,0101000020110F0000EFAAC04F7AC661C1DDD1405776205041,7221,>1m <=5m,ATBI DATABASE,,1446827502000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253420,3928242,35.467127,-83.717397,Hazel Creek,Laurel Branch,1948.856323,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827502000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000A53B488242EF54C07D44303435BD4140,7866,0101000020110F0000BFE201FC9EC761C194443F07F0215041,7218,>1m <=5m,ATBI DATABASE,,1446827500000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251545,3929521,35.478179,-83.73843,Hazel Creek,Shehan Branch,1881.022095,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827500000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000063658FABECE654C05A6F182850B94140,7877,0101000020110F00007AE7E7B68AC061C158D6875EE01D5041,7226,>1m <=5m,ATBI DATABASE,,1446827505000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263275,3925825,35.447752,-83.608191,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1763.954712,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827505000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000BFCEA65319DB54C0043876B6EBBD4140,7892,0101000020110F00003F6F3D977FB661C106123E61AE225041,7242,>1m <=5m,ATBI DATABASE,,1446827514000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280147,3929391,35.483749,-83.423417,Deep Creek,Deep Creek,1939.737793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827514000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002EFC64B56ED154C097A8EA676FE04140,7902,0101000020110F0000CCEB92E549AE61C16043229ABD465041,7250,>1m <=5m,ATBI DATABASE,,1446827518000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294543,3958978,35.753393,-83.272378,Cosby Creek,,2454.220459,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827518000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969926400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002B6056B65CD154C012DBFE119DE14140,7903,0101000020110F00005C84CC9C3AAE61C162A03952F9475041,7251,>1m <=5m,ATBI DATABASE,,1446827519000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294666,3959997,35.762599,-83.27128,Cosby Creek,Cole Creek,2117.120361,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827519000,GRSM,UNR,,3,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969840000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008A368BA05CD154C0FC756F91B0E14140,7905,0101000020110F0000EA214A8A3AAE61C1EA868ABA0D485041,7253,>1m <=5m,ATBI DATABASE,,1446827520000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294668,3960063,35.763194,-83.271275,Cosby Creek,Cole Creek,2091.817383,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827520000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969840000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000D34D20F4C5CC54C04FD1907F93E04140,7897,0101000020110F0000F5D8BDE354AA61C11E86C55FE3465041,7257,>1m <=5m,ATBI DATABASE,,1446827522000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301129,3958950,35.754494,-83.199578,Cosby Creek,,2471.418213,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827522000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Campground Road B,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000811E0A6924CA54C0B64A688625DD4140,7909,0101000020110F000001DA5CD918A861C1A43EC8B04C435041,7258,>1m <=5m,ATBI DATABASE,,1446827522000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304781,3955895,35.727701,-83.158468,Big Creek,Big Creek,2838.546387,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827522000,GRSM,UNR,,5,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E22645590FCE54C05321866C0CDF4140,7907,0101000020110F000007E31CA56CAB61C126C6C5204A455041,7255,>1m <=5m,ATBI DATABASE,,1446827521000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299281,3957667,35.74256,-83.219683,Cosby Creek,Inadu Creek,3146.046875,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827521000,GRSM,UNR,,6,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,927763200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005D67CA8150CD54C0949AB7967BD14140,7908,0101000020110F0000AC852390CAAA61C1591B5A9C1A375041,7256,>1m <=5m,ATBI DATABASE,,1446827521000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300070,3945886,35.636577,-83.208035,Straight Fork Raven Fork,,4352.775391,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446827521000,GRSM,UNR,,5,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Prenanthes_altissima,Prenanthes  altissima,32551,Tall Rattlesnake-root,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed,No,day,cert,ATBI
