the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B319C62EA8E754C049523CA870BF4140,29635,0101000020110F00009EE30CF829C161C1DE26F01444245041,28763,>1m <=5m,ATBI DATABASE,,1446839493000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262377,3931163,35.495619,-83.619636,Forney Creek,Bear Creek,4634.84375,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839493000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149552000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000007CE4190BD5C754C0D4ADC635E5D94140,29753,0101000020110F0000DE27D79922A661C129725511E63F5041,28888,>1m <=5m,ATBI DATABASE,,1446839561000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307985,3953006,35.702301,-83.122374,Big Creek,Correll Branch,5829.166504,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839561000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994982400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000716A9362FEC654C0E38F95A4DADB4140,29758,0101000020110F0000C8B8A44A6CA561C1988BCE8BF2415041,28893,>1m <=5m,ATBI DATABASE,,1446839564000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309207,3954678,35.717603,-83.109272,Big Creek,Baxter Creek,4646.151855,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839564000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961632000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002AE8514C99CB54C09B1DCEA82BDE4140,29727,0101000020110F0000F9A5F58A55A961C10F8C83F25E445041,28862,>1m <=5m,ATBI DATABASE,,1446839549000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,302742,3956828,35.7357,-83.181228,Big Creek,Low Gap Branch,4292.929688,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839549000,GRSM,UNR,,5,,,Appalachian Trail,Cosby Campground Road B,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1057968000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, , ,cert,ATBI Aphid Study
0101000020E61000002A520B6C88CE54C08426C1CF03DF4140,28389,0101000020110F0000F2F5FB78D3AB61C18D98BB1D41455041,28857,>1m <=5m,ATBI DATABASE,,1446839546000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298612,3957653,35.742297,-83.227073,Cosby Creek,Inadu Creek,3466.187744,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839546000,GRSM,UNR,,6,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B1B37900D1C854C0360B04A678D54140,29743,0101000020110F0000A8BCE096F8A661C17DBD16D3453B5041,28878,>1m <=5m,ATBI DATABASE,,1446839557000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,306510,3949202,35.667738,-83.137753,Upper Cataloochee Creek,Pretty Hollow Creek,4004.845947,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839557000,GRSM,UNR,,5,,,Pretty Hollow Gap Trail,Old Cataloochee Turnpike,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,901756800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005D67CA8150CD54C0949AB7967BD14140,29723,0101000020110F0000AC852390CAAA61C1591B5A9C1A375041,28858,>1m <=5m,ATBI DATABASE,,1446839546000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300070,3945886,35.636577,-83.208035,Straight Fork Raven Fork,,4352.775391,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839546000,GRSM,UNR,,5,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000009D8AE25556CA54C066CFA96148D14140,29731,0101000020110F0000E682234043A861C192078C19E5365041,28866,>1m <=5m,ATBI DATABASE,,1446839551000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304279,3945619,35.635015,-83.161516,Upper Cataloochee Creek,Beech Creek,3969.5354,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839551000,GRSM,UNR,,6,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899251200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E9A9820F4DC854C0FCE54B63CCD14140,29746,0101000020110F0000E144178888A661C11F13090C6F375041,28881,>1m <=5m,ATBI DATABASE,,1446839558000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307170,3946003,35.639043,-83.129699,Upper Cataloochee Creek,Palmer Creek,2997.938965,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839558000,GRSM,UNR,,4,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,905385600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000015F50DD53FC954C04C4F6EA10CD14140,29737,0101000020110F0000E1DEB7B756A761C11A4E81A9A6365041,28872,>1m <=5m,ATBI DATABASE,,1446839554000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305814,3945383,35.633191,-83.144517,Upper Cataloochee Creek,Shanty Branch,3862.97998,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839554000,GRSM,UNR,,7,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,904867200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000087EFCC1DA0C554C0F4B18772B9D04140,29771,0101000020110F0000D4A4ECCE42A461C1308BAABD4F365041,28906,>1m <=5m,ATBI DATABASE,,1446839570000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310936,3944991,35.630653,-83.087894,Upper Cataloochee Creek,Caldwell Fork,2635.723633,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839570000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,906595200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
