the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000015195D3EAFF954C024180E51B3BB4140,219910,0101000020110F00003C73A78A79D061C1A88A349A5D205041,219836,>1m <=5m,ATBI DATABASE,,1446943286000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,236724,3928637,35.466403,-83.901317,Lake Cheoah-Little Tennessee River,,1336.466797,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446943286000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1064102400000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
0101000020E6100000DBFFEE8719E654C0AC17B7699DB84140,219914,0101000020110F000079ABD764D7BF61C1B8DD2A07261D5041,219840,>1m <=5m,ATBI DATABASE,,1446943288000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264429,3925189,35.442297,-83.595304,Lower Fontana Lake-Little Tennessee River,Welch Branch,1725.681152,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943288000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1051574400000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
0101000020E6100000EDF4A9810BE454C07A9881C0C6BB4140,219917,0101000020110F00008C6D22A418BE61C16ABB89DE71205041,219843,>1m <=5m,ATBI DATABASE,,1446943290000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267415,3927853,35.466996,-83.563198,Forney Creek,Forney Creek,1713.050659,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943290000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1051488000000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
0101000020E6100000493D55CFD3E354C08C09B016FFBA4140,219919,0101000020110F00005C908756E9BD61C1F8E690ABA11F5041,219844,>1m <=5m,ATBI DATABASE,,1446943290000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267706,3927169,35.460903,-83.559799,Forney Creek,Gray Wolf Creek,1734.570923,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943290000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1051574400000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
0101000020E6100000E6F9B03761E254C0B5ECDDE7C4BA4140,219923,0101000020110F000095B40398AEBC61C1168ABD00651F5041,219848,>1m <=5m,ATBI DATABASE,,1446943292000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269754,3926919,35.459127,-83.53718,Noland Creek,Laurel Branch,2034.28833,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943292000,GRSM,UNR,,4,,,Tunnel Bypass Trail NC,Lakeview Drive East Parking #4,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1098230400000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
0101000020E6100000DF141C7F1EE354C056138F8EA2B94140,219921,0101000020110F0000B86E37594FBD61C150AFB646361E5041,219846,>1m <=5m,ATBI DATABASE,,1446943291000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268680,3925963,35.450267,-83.548732,Fontana Lake-Tuckasegee River,Goldmine Branch,1703.119019,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943291000,GRSM,UNR,,4,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1051488000000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
0101000020E6100000327AD3CC11E354C04DDDBB2493B94140,219922,0101000020110F000082E8BF9044BD61C14AD3E934261E5041,219847,>1m <=5m,ATBI DATABASE,,1446943292000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268749,3925909,35.449796,-83.547957,Fontana Lake-Tuckasegee River,Tunnel Branch,1699.431519,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943292000,GRSM,UNR,,5,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1051488000000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
0101000020E6100000E2F9866E28E354C09205DA8AAEB94140,219920,0101000020110F0000608457C957BD61C1362DA4C5421E5041,219845,>1m <=5m,ATBI DATABASE,,1446943291000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268626,3926005,35.450632,-83.549339,Fontana Lake-Tuckasegee River,Goldmine Branch,1744.868286,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943291000,GRSM,UNR,,2,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1051488000000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
0101000020E6100000B7822C5FE5DE54C00BE8B74F51BA4140,219928,0101000020110F0000CF241F26B9B961C1F331087AEC1E5041,219853,>1m <=5m,ATBI DATABASE,,1446943295000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274685,3926402,35.4556,-83.482746,Fontana Lake-Tuckasegee River,Peachtree Creek,2057.682373,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446943295000,GRSM,UNR,,1,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1098230400000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
0101000020E6100000469FB241D6CD54C0B58B26AD3EDF4140,219936,0101000020110F000070451A283CAB61C1A3F349B67E455041,219861,>1m <=5m,ATBI DATABASE,,1446943301000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299600,3957830,35.744093,-83.216198,Cosby Creek,Rock Creek,2857.007568,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446943301000,GRSM,UNR,,1,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,770428800000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000055A011CA6DCC54C03D3ABE9563D04140,219938,0101000020110F00001E1CFC020AAA61C10A3CDC05F6355041,219863,>1m <=5m,ATBI DATABASE,,1446943302000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,301302,3944910,35.628032,-83.194197,Straight Fork Raven Fork,Ledge Creek,3536.131836,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446943302000,GRSM,UNR,,3,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Nais_communis,Nais  communis,24518,Worm,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1064275200000,Animalia, ,Annelida,Clitellata,Oligochaeta, , ,Protostomia,Lophotrochozoa,Microdrili,Tubificida, ,Tubificina, ,Tubificoidea,Naididae, ,~,D-ring dip net, , ,cert,ATBI Aquatic Oligochaeta
