the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000037667921D4EE54C044B2E910D1BC4140,192003,0101000020110F0000DAD27D3D41C761C16C66D29787215041,191715,>1m <=5m,ATBI DATABASE,,1446927263000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252147,3929165,35.475123,-83.731693,Hazel Creek,Shehan Branch,1748.619385,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927263000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1344297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000007D10FDCBEFDB54C06BDAF0B4AFBA4140,192008,0101000020110F000089B682BD35B761C1C4D52BE64E1F5041,191720,>1m <=5m,ATBI DATABASE,,1446927266000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278890,3926617,35.45848,-83.436507,Deep Creek,Deep Creek,1884.509644,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927266000,GRSM,UNR,,6,,,Noland Divide Trail,East Deep Creek Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1378252800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,by hand,No,day,cert,ATBI
0101000020E610000015F66BEDC8DB54C0B7E71CBD93BA4140,192009,0101000020110F000062B77DBA14B761C15D76CDBC311F5041,191721,>1m <=5m,ATBI DATABASE,,1446927266000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279103,3926517,35.457627,-83.434135,Deep Creek,,1941.210205,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927266000,GRSM,UNR,,9,,,Noland Divide Trail,Deep Creek Maintenance And Residence Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1380153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000008A5C7A7872CD54C065CDE0E02CE04140,192021,0101000020110F000008198A68E7AA61C1EBE8DDFA77465041,191733,>1m <=5m,ATBI DATABASE,,1446927273000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300169,3958624,35.751363,-83.210108,Cosby Creek,,2435.421631,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927273000,GRSM,UNR,,5,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1355529600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000523A9DD3A8D554C06AB73A595AC94140,192019,0101000020110F000068D5A1F0E0B161C15F1BE4949C2E5041,191731,>1m <=5m,ATBI DATABASE,,1446927271000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288094,3939113,35.573063,-83.338425,Upper Oconaluftee River,Oconaluftee River,2445.729492,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446927271000,GRSM,UNR,,6,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1376006400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000045F3F9EE17D354C08CF0DD8323C24140,192020,0101000020110F000094385A0AB3AF61C199CF55DA14275041,191732,>1m <=5m,ATBI DATABASE,,1446927272000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291582,3932775,35.516702,-83.298332,Lower Raven Fork,Raven Fork,2095.693359,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446927272000,GRSM,UNR,,4,,,Nations Cemetery Access,Oconaluftee Job Corps Center Access Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1140825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000001DF9FBD9D0D854C00CF46A2F0BDF4140,192014,0101000020110F0000491B1D328FB461C194E7F4D448455041,191726,>1m <=5m,ATBI DATABASE,,1446927269000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284081,3958020,35.742522,-83.387743,Little Pigeon River Middle,Left Fork Copeland Creek,1434.128174,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927269000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1331164800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000002E5702D3B0D854C0A2AD363E94DE4140,192015,0101000020110F000032B7B8FE73B461C191BC0660CC445041,191727,>1m <=5m,ATBI DATABASE,,1446927269000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284248,3957613,35.738892,-83.385788,Little Pigeon River Middle,Left Fork Copeland Creek,1475.442871,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927269000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1331164800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000003D1D8D181DDA54C01CD9EAB9DFDD4140,192010,0101000020110F0000F6F0FB5EA9B561C14018F37F0F445041,191722,>1m <=5m,ATBI DATABASE,,1446927267000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282222,3957051,35.733383,-83.408022,Little Pigeon River Middle,Little Pigeon River,1457.43811,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927267000,GRSM,UNR,,7,,,Duds Branch Concession Horse Trail,Greenbrier Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1358640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000C118EF9995D954C0C6DD150B8DDC4140,192012,0101000020110F0000D313A14B36B561C15332842BAD425041,191724,>1m <=5m,ATBI DATABASE,,1446927268000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282942,3955886,35.723047,-83.399752,Little Pigeon River Middle,Teds Branch,1521.670654,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927268000,GRSM,UNR,,6,,,Grapeyard Ridge Trail,Greenbrier Unpaved Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1361404800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000002EA7623546D854C054EB416438DD4140,192017,0101000020110F0000B0003D7219B461C170CCC06D60435041,191729,>1m <=5m,ATBI DATABASE,,1446927270000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284808,3956421,35.728277,-83.379281,Little Pigeon River Middle,Copeland Creek,1816.278198,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927270000,GRSM,UNR,,3,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1356220800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
