the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000007B6E7859DF754C05C6DF259F3BB4140,60423,0101000020110F00001DFF58A6B7CE61C1646EA260A0205041,59858,>1m <=5m,ATBI DATABASE,,1446856853000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239665,3928768,35.468357,-83.868985,Lake Cheoah-Little Tennessee River,Twentymile Creek,1805.281494,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856853000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,840585600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000026F8FAE8C1F754C0C66F502336BC4140,60422,0101000020110F0000A3DAA48DD6CE61C16B392106E6205041,59857,>1m <=5m,ATBI DATABASE,,1446856853000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239470,3929000,35.470395,-83.871206,Lake Cheoah-Little Tennessee River,Twentymile Creek,1430.253174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856853000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,836265600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000008FC8A2A911EE54C02410F5E338BC4140,60427,0101000020110F0000CEDB0F149CC661C1AFC5F4E4E8205041,59862,>1m <=5m,ATBI DATABASE,,1446856855000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253210,3928620,35.470479,-83.719824,Hazel Creek,Hazel Creek,1911.231934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856855000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,903398400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C6E7AE224CDB54C0DB36740940BC4140,60458,0101000020110F00003EB41DBEAAB661C1BC98D258F0205041,59893,>1m <=5m,ATBI DATABASE,,1446856875000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279830,3927950,35.470697,-83.426518,Deep Creek,Deep Creek,2110.923828,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856875000,GRSM,UNR,,5,,,Deep Creek Trail,Tom Branch Road,Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,872035200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000C57BC7E93EDB54C0D53A11C771BE4140,60459,0101000020110F0000DEE550839FB661C18EE1CD363A235041,59894,>1m <=5m,ATBI DATABASE,,1446856876000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279950,3929850,35.48784,-83.425711,Deep Creek,Deep Creek,2083.899658,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446856876000,GRSM,UNR,,5,,,Deep Creek Trail,Tom Branch Road,Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,869529600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000000DA98BDCBFD154C0F1F758E8ADE04140,60466,0101000020110F0000398FEAD18EAE61C1B75A4403FF465041,59901,>1m <=5m,ATBI DATABASE,,1446856881000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294100,3959200,35.7553,-83.277331,Cosby Creek,Indian Camp Creek,2325.277344,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446856881000,GRSM,UNR,,5,,,Old Settlers Trail,Cosby Entrance Road,Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,838598400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000D5720FB877CD54C0D7638C6332E14140,60469,0101000020110F0000BFF5A4DDEBAA61C114474CAA89475041,59904,>1m <=5m,ATBI DATABASE,,1446856883000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300160,3959510,35.759343,-83.210428,Cosby Creek,,2137.029297,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446856883000,GRSM,UNR,,4,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,835315200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E6100000469FB241D6CD54C0B58B26AD3EDF4140,60468,0101000020110F000070451A283CAB61C1A3F349B67E455041,59903,>1m <=5m,ATBI DATABASE,,1446856882000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299600,3957830,35.744093,-83.216198,Cosby Creek,Rock Creek,2857.007568,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446856882000,GRSM,UNR,,1,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,898473600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000000B6C1BE1ACB54C055A976D931D34140,60472,0101000020110F000026EBB20FEAA861C12D867BA1E4385041,59907,>1m <=5m,ATBI DATABASE,,1446856884000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,303230,3947300,35.649952,-83.173503,Upper Cataloochee Creek,Lost Bottom Creek,4567.367188,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446856884000,GRSM,UNR,,4,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,906508800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E610000069D5B40CCAC954C07C3810B80CD14140,60476,0101000020110F0000A29C101BCCA761C1F5AC27C1A6365041,59911,>1m <=5m,ATBI DATABASE,,1446856886000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305050,3945400,35.633194,-83.152953,Upper Cataloochee Creek,Falling Rock Creek,3594.460449,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446856886000,GRSM,UNR,,6,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,837043200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
0101000020E61000006D145F6E69C954C005EF3BF85CD14140,60478,0101000020110F000052B92F0C7AA761C121CC329DFA365041,59913,>1m <=5m,ATBI DATABASE,,1446856888000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305590,3945660,35.635643,-83.147056,Upper Cataloochee Creek,Palmer Creek,3373.908203,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446856888000,GRSM,UNR,,3,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Thienemanniella_xena,Thienemanniella  xena,39934,Xenate Non-biting Midge,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,868492800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Diptera, ,Nematocera,Culicomorpha,Chironomoidea,Chironomidae,Orthocladiinae,~,by hand, , ,cert,Inventory & Monitoring
