the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000DDCE000F33F854C0BB1500F2C4BB4140,235577,0101000020110F000042097FA636CF61C1C9D53DFC6F205041,235564,>1m <=5m,ATBI DATABASE,,1446952305000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238832,3928635,35.466941,-83.878112,Lake Cheoah-Little Tennessee River,Twentymile Creek,1302.176514,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952305000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1191974400000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E6100000D7EC1B74F6DB54C0130BE9E125BB4140,235661,0101000020110F0000761AD2643BB761C19E2D0A1FCA1F5041,235647,>1m <=5m,ATBI DATABASE,,1446952355000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278863,3927018,35.462087,-83.436913,Deep Creek,,1818.619019,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952355000,GRSM,UNR,,4,,,Deep Creek Horse Trail,Deep Creek Picnic Area Parking Area #8,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1187568000000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E610000077D3813AF2DB54C0F209250821BB4140,235662,0101000020110F0000524137CE37B761C1BD093810C51F5041,235648,>1m <=5m,ATBI DATABASE,,1446952356000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278886,3927001,35.461939,-83.436655,Deep Creek,,1816.545166,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952356000,GRSM,UNR,,6,,,Deep Creek Horse Trail,Deep Creek Picnic Area Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1187568000000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E610000072BCF3A526CD54C06D8E8E1375E04140,235698,0101000020110F000084782C03A7AA61C1E9175289C3465041,235684,>1m <=5m,ATBI DATABASE,,1446952382000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300593,3958859,35.753566,-83.20548,Cosby Creek,Cosby Creek,2266.617188,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446952382000,GRSM,UNR,,4,,,Cosby Nature Trail,Cosby Ampitheater Parking,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1150070400000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E61000000AE1C49C0FCC54C0DBB3F2C868D04140,235700,0101000020110F0000E6EBF206BAA961C103E5D174FB355041,235686,>1m <=5m,ATBI DATABASE,,1446952383000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,301823,3944916,35.628191,-83.188449,Straight Fork Raven Fork,,4043.205811,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446952383000,GRSM,UNR,,4,,,Balsam Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1189123200000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E61000004137109F4FC754C034C6F67625D04140,235713,0101000020110F00002F581B49B1A561C163EA741DB5355041,235699,>1m <=5m,ATBI DATABASE,,1446952390000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308540,3944541,35.626136,-83.114231,Upper Cataloochee Creek,Palmer Creek,2759.232422,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952390000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Pretty Hollow Gap Trail Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1188000000000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E6100000EAE4FD9910C754C0E16EC21D65D04140,235714,0101000020110F000031B848C37BA561C14E1E799FF7355041,235700,>1m <=5m,ATBI DATABASE,,1446952391000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308893,3944749,35.628079,-83.110384,Upper Cataloochee Creek,,2773.097168,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952391000,GRSM,UNR,,2,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1187740800000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E610000036A8752F58C554C0DBED007D12D14140,235715,0101000020110F0000E96C9EB705A461C1C1CC7DC8AC365041,235701,>1m <=5m,ATBI DATABASE,,1446952391000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311340,3945284,35.63337,-83.083503,Lower Cataloochee Creek,Cataloochee Creek,2610.515625,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952391000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1187740800000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E61000004D290B996AC454C02C49352B5CD34140,235732,0101000020110F0000FF2F1FEF3BA361C164C0B6DC10395041,235718,>1m <=5m,ATBI DATABASE,,1446952399000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312695,3947239,35.651243,-83.069002,Lower Cataloochee Creek,Bennett Branch,3032.689453,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952399000,GRSM,UNR,,9,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1222473600000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, , ,cert,Turbellaria and Nemertea
0101000020E6100000FACC4F2D9FC454C0DBE6B334DED44140,235731,0101000020110F0000AB88EE9668A361C1EC66C35FA43A5041,235717,>1m <=5m,ATBI DATABASE,,1446952399000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312432,3948552,35.663024,-83.072211,Lower Cataloochee Creek,,2564.435059,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952399000,GRSM,UNR,,3,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1276905600000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, , ,cert,Turbellaria and Nemertea
0101000020E61000001D008B3E37C454C0F770AFF75BD44140,235733,0101000020110F00002972CB5110A361C1189DC93B1C3A5041,235719,>1m <=5m,ATBI DATABASE,,1446952400000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312997,3948099,35.65905,-83.065868,Lower Cataloochee Creek,,3350.899414,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952400000,GRSM,UNR,,6,,,Lawson Jenkins-Kerr Cemetery Access,Old Cataloochee Turnpike,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1274486400000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, , ,cert,Turbellaria and Nemertea
