the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000516E57BF84DA54C043B49518BDBD4140,30155,0101000020110F00003169FD6601B661C1C1933AC27D225041,29285,>1m <=5m,ATBI DATABASE,,1446839778000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280966,3929213,35.482326,-83.414348,Deep Creek,Indian Creek,2230.031494,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839778000,GRSM,UNR,,4,,,Indian Creek Trail,Indian Camp Creek Road,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D10EFA5D6EC654C01BBCAA114CD04140,30177,0101000020110F0000497421FAF1A461C1207A9773DD355041,29308,>1m <=5m,ATBI DATABASE,,1446839794000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309788,3944645,35.627315,-83.100482,Upper Cataloochee Creek,Palmer Creek,2705.700684,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839794000,GRSM,UNR,,4,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1042243200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000A16C74A8C8C454C0BB76E76521D34140,30178,0101000020110F0000C7F7C5D18BA361C12EF0AF6FD3385041,29309,>1m <=5m,ATBI DATABASE,,1446839794000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312171,3947051,35.64945,-83.074743,Lower Cataloochee Creek,Cataloochee Creek,2562.80127,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839794000,GRSM,UNR,,6,,,Lawson Jenkins-Kerr Cemetery Access,Cataloochee Group Camp Road,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1042243200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E610000002BD7A59B6CD54C04AA5055340CE4140,30176,0101000020110F0000B90ED50E21AB61C1C731DF41BA335041,29307,>1m <=5m,ATBI DATABASE,,1446839793000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299444,3943098,35.611331,-83.214251,Straight Fork Raven Fork,Straight Fork Raven Fork,3035.806885,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839793000,GRSM,UNR,,7,,,Hyatt Ridge Trail,Straight Fork Road,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,981849600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000F1C8F01CADD554C0CC83DC9B18C94140,30160,0101000020110F00002B819794E4B161C1DE9367F0572E5041,29291,>1m <=5m,ATBI DATABASE,,1446839781000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288065,3938891,35.571057,-83.338687,Upper Oconaluftee River,Oconaluftee River,2451.73877,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839781000,GRSM,UNR,,4,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000C3B5F618AED554C09C59AA962AC94140,30159,0101000020110F00003F99A26AE5B161C1F41568B66A2E5041,29290,>1m <=5m,ATBI DATABASE,,1446839780000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288061,3938952,35.571605,-83.338747,Upper Oconaluftee River,Oconaluftee River,2439.614746,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839780000,GRSM,UNR,,4,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000A1991BF799D554C02A693A454BC94140,30161,0101000020110F000026B67651D4B161C1039668D68C2E5041,29292,>1m <=5m,ATBI DATABASE,,1446839782000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288175,3939060,35.572603,-83.337518,Upper Oconaluftee River,,2434.521484,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839782000,GRSM,UNR,,4,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1376006400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000AF0D91AA98D554C099C033F548C94140,30162,0101000020110F0000BE4F0937D3B161C147B13C6C8A2E5041,29293,>1m <=5m,ATBI DATABASE,,1446839782000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288182,3939052,35.572532,-83.337439,Upper Oconaluftee River,,2434.521484,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839782000,GRSM,UNR,,4,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1311379200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000001892E54D0D354C0A1B11FF7A7C64140,30170,0101000020110F0000168BBFA54FB061C17442ADCCCB2B5041,29301,>1m <=5m,ATBI DATABASE,,1446839788000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290653,3936714,35.551994,-83.309586,Lower Oconaluftee River,,2177.328369,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839788000,GRSM,UNR,,6,,,Newton Bald Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000073D3F4465ED354C0E6EE3AF56AC54140,30173,0101000020110F00008D1589C8EEAF61C197F4ABE5802A5041,29304,>1m <=5m,ATBI DATABASE,,1446839790000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291259,3935626,35.54232,-83.302625,Lower Oconaluftee River,,2374.768799,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839790000,GRSM,UNR,,6,,,Tow String Horse Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1015718400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E610000079D477950DD354C0E2D96793D8C44140,30175,0101000020110F000027CC1F40AAAF61C14C55C11CE8295041,29306,>1m <=5m,ATBI DATABASE,,1446839792000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291694,3935120,35.537853,-83.2977,Lower Oconaluftee River,Oconaluftee River,2116.393799,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839792000,GRSM,UNR,,6,,,Chambers Cemetery Access,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1376006400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed,No,day,cert,ATBI
