the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008B3EF12C99F654C05BD45CAB93BC4140,175312,0101000020110F0000E7D45C89DACD61C1598F3F9047215041,174944,>1m <=5m,ATBI DATABASE,,1446917668000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241123,3929269,35.47325,-83.853095,Lake Cheoah-Little Tennessee River,Twentymile Creek,1867.777954,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917668000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000002B873A3E0ED54C0CA3731DD91BB4140,175389,0101000020110F00003DD62F7172C661C1B8E803B83A205041,175016,>1m <=5m,ATBI DATABASE,,1446917708000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253466,3928047,35.465382,-83.716832,Hazel Creek,Laurel Branch,1903.563232,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917708000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F53EA4CB5AE654C096E3D08D36B94140,175405,0101000020110F00009640B4D20EC061C1D0B675ADC51D5041,175030,>1m <=5m,ATBI DATABASE,,1446917716000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264081,3925717,35.446971,-83.599288,Lower Fontana Lake-Little Tennessee River,Welch Branch,1891.640991,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917716000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007F7D14787EE054C045F63B0061BF4140,175412,0101000020110F0000EB216A9814BB61C1830FF5BF33245041,175037,>1m <=5m,ATBI DATABASE,,1446917719000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272530,3930846,35.495141,-83.507715,Noland Creek,Drinklog Branch,2573.8396,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917719000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000014817E2ABE054C044E2B58AFFBC4140,175408,0101000020110F0000BBA8632A3BBB61C18DB01710B8215041,175033,>1m <=5m,ATBI DATABASE,,1446917717000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272226,3928789,35.476542,-83.510487,Noland Creek,,2107.562744,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917717000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000163AACF97CE254C07B7CC1F588BA4140,175406,0101000020110F0000C872202BC6BC61C1CA84B67F261F5041,175031,>1m <=5m,ATBI DATABASE,,1446917716000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269595,3926720,35.457298,-83.538874,Noland Creek,Laurel Branch,2137.520996,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917716000,GRSM,UNR,,1,,,Tunnel Bypass Trail NC,Lakeview Drive East,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087603200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000C12722CB7BD154C04BDFDB5CCBE04140,175439,0101000020110F0000AE1C820255AE61C1B26FDFD61D475041,175061,>1m <=5m,ATBI DATABASE,,1446917734000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294478,3959291,35.756199,-83.273177,Cosby Creek,Maddron Creek,2360.141113,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917734000,GRSM,UNR,,6,,,Old Settlers Trail,Cosby Entrance Road,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969840000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000005AB03B7A4FD154C073D959151DE14140,175396,0101000020110F0000B1E8475F2FAE61C11CA4E95D73475041,175062,>1m <=5m,ATBI DATABASE,,1446917735000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294729,3959562,35.758693,-83.270472,Cosby Creek,,2278.952637,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917735000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000009504FCA833CD54C0673A9B65C1E04140,175441,0101000020110F000011753810B2AA61C1173AD26813475041,175064,>1m <=5m,ATBI DATABASE,,1446917736000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300527,3959119,35.755895,-83.206274,Cosby Creek,,2199.354248,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917736000,GRSM,UNR,,4,,,Cosby Nature Trail,Cosby Picnic Area Road,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932860800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000D34D20F4C5CC54C04FD1907F93E04140,175443,0101000020110F0000F5D8BDE354AA61C11E86C55FE3465041,175066,>1m <=5m,ATBI DATABASE,,1446917737000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301129,3958950,35.754494,-83.199578,Cosby Creek,,2471.418213,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917737000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Campground Road B,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C4688682A9C954C08AE7FF64B2DD4140,175444,0101000020110F0000DA3F3D78B0A761C17B2D3612E0435041,175067,>1m <=5m,ATBI DATABASE,,1446917737000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305470,3956357,35.732,-83.150967,Big Creek,Big Creek,2832.913086,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917737000,GRSM,UNR,,7,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
