the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000005EE57DDAD0DB54C0EDA09FA49EBA4140,202150,0101000020110F00002CEAC7751BB761C125FA6D1B3D1F5041,201999,>1m <=5m,ATBI DATABASE,,1446933280000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279060,3926555,35.45796,-83.434618,Deep Creek,,1907.187622,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933280000,GRSM,UNR,,7,,,Noland Divide Trail,Deep Creek Maintenance And Residence Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1380153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000003A2994D17DCC54C0F42A770EC1E14140,201409,0101000020110F000075D818A017AA61C1A6C988FC1E485041,202009,>1m <=5m,ATBI DATABASE,,1446933286000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301550,3959962,35.763697,-83.195175,Cosby Creek,,2635.37207,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933286000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000651A0B1234CC54C01C70C8CCA6E14140,202159,0101000020110F0000DBA3B3FDD8A961C18E31378103485041,202010,>1m <=5m,ATBI DATABASE,,1446933286000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301955,3959864,35.762896,-83.190674,Cosby Creek,Riding Fork,2694.978027,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933286000,GRSM,UNR,,6,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925516800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000086E2897E1FCA54C05473A225DBE14140,202162,0101000020110F00007B7984AC14A861C142146D4B3A485041,202013,>1m <=5m,ATBI DATABASE,,1446933288000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304898,3959976,35.764493,-83.158168,Big Creek,,4387.623535,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933288000,GRSM,UNR,,4,,,Appalachian Trail,Cosby Campground Road B,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002D1FEC2115C854C0461943A375E24140,201552,0101000020110F000013AB280859A661C11AB34D00DC485041,202017,>1m <=5m,ATBI DATABASE,,1446933290000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,307792,3960436,35.769208,-83.126286,Pigeon River-Cripple Creek,,2882.97168,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933290000,GRSM,UNR,,6,,,Appalachian Trail,Big Creek Entrance Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1133049600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000AB8F52CC2BC854C0A6D03E0569E24140,202164,0101000020110F0000569E23486CA661C1F97554CBCE485041,202015,>1m <=5m,ATBI DATABASE,,1446933289000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,307666,3960396,35.768823,-83.127669,Pigeon River-Cripple Creek,,2991.494141,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933289000,GRSM,UNR,,7,,,Appalachian Trail,Big Creek Entrance Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1133049600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000004686BD32EAC654C0E7E2D1C892D94140,202166,0101000020110F0000E35F99255BA561C195620EDD8F3F5041,202018,>1m <=5m,ATBI DATABASE,,1446933290000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309276,3952699,35.699785,-83.10804,Lower Cataloochee Creek,,4363.957031,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933290000,GRSM,UNR,,6,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1192838400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000FD7FB617E9C654C04C2CD778BCDC4140,202167,0101000020110F0000A84C39355AA561C1288C80C9DE425041,202019,>1m <=5m,ATBI DATABASE,,1446933291000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309341,3955440,35.724495,-83.107973,Big Creek,Baxter Creek,4026.688721,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933291000,GRSM,UNR,,7,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961632000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000087C65FCF61C854C03E01F5EF45DE4140,202163,0101000020110F0000005B75279AA661C126D626717A445041,202014,>1m <=5m,ATBI DATABASE,,1446933288000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307290,3956817,35.736502,-83.130966,Big Creek,Big Creek,2373.484619,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933288000,GRSM,UNR,,9,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994896000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000081E94A1DE7CB54C0A5BE42ACDFDE4140,202161,0101000020110F00003611D9A197A961C198CC2E4D1B455041,202012,>1m <=5m,ATBI DATABASE,,1446933287000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,302326,3957447,35.741194,-83.185977,Cosby Creek,Cosby Creek,3684.921143,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933287000,GRSM,UNR,,6,,,Low Gap Trail,Cosby Campground Road B,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924739200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000175D83637BCE54C002B4BA905FDF4140,202158,0101000020110F0000586F4467C8AB61C13852A820A1455041,202008,>1m <=5m,ATBI DATABASE,,1446933286000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298691,3957962,35.745097,-83.226277,Cosby Creek,Crying Creek,3700.367188,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933286000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
