the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F9A0DEC14CF354C0834EE25511BF4140,171459,0101000020110F00005EDF335F0DCB61C1905ACDA5E0235041,171137,>1m <=5m,ATBI DATABASE,,1446915489000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245862,3931294,35.49271,-83.801556,Eagle Creek,Lost Cove Creek,2676.281738,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915489000,GRSM,UNR,,8,,,Lost Cove Trail,Lakeview Drive West,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1083974400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000969F770A49F054C054999BDCA0BD4140,171461,0101000020110F000007ABF0F37DC861C10370914F60225041,171139,>1m <=5m,ATBI DATABASE,,1446915490000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250101,3929926,35.481465,-83.754454,Eagle Creek,Ecoah Branch,2317.827881,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915490000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1081728000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,unspecified, , ,cert,ATBI Coleoptera Survey
0101000020E6100000A51EC372EADA54C04C630141F0BD4140,171477,0101000020110F0000627EE1C657B661C1A608C91DB3225041,171155,>1m <=5m,ATBI DATABASE,,1446915500000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280407,3929400,35.483888,-83.420556,Deep Creek,,2288.43042,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446915500000,GRSM,UNR,,5,,,Loop Trail,Tom Branch Road,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027555200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000009D7B3DCF67CF54C055AB39C428E34140,171497,0101000020110F00003074163291AC61C174C12F8297495041,171175,>1m <=5m,ATBI DATABASE,,1446915512000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,297461,3961273,35.774675,-83.240707,Cosby Creek,Hen Wallow Creek,1756.195801,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915512000,GRSM,UNR,,4,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1027036800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000009DEC9EF03DCD54C0E6E0E28054E24140,171501,0101000020110F0000742645CBBAAA61C154908851B9485041,171179,>1m <=5m,ATBI DATABASE,,1446915514000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300501,3960485,35.768197,-83.206902,Cosby Creek,,2094.354492,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915514000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,214185600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,by hand,No, ,cert,ATBI Coleoptera Survey
0101000020E61000005DDC5D9FADCD54C0745F51C850E34140,171500,0101000020110F0000ED4866A519AB61C1987EE365C1495041,171178,>1m <=5m,ATBI DATABASE,,1446915514000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299904,3961353,35.775896,-83.213718,Cosby Creek,Fletcher Spring Branch,1803.002075,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915514000,GRSM,UNR,,7,,,Tritt Cemetery Access Trail,Cosby Entrance Road,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1128643200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000ED5FE5A5E2C754C084FB40734FE14140,171503,0101000020110F00009D7AC7272EA661C1059DCC14A8475041,171181,>1m <=5m,ATBI DATABASE,,1446915515000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308049,3959434,35.76023,-83.123205,Big Creek,,2254.274902,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915515000,GRSM,UNR,,6,,,Chestnut Branch Trail,Big Creek Entrance Road,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,996624000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000BA496F2C06C754C0D4459DC832E04140,171506,0101000020110F00002A4607E872A561C194DCE7287E465041,171184,>1m <=5m,ATBI DATABASE,,1446915517000,DERV,WATERVILLE,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309245,3958444,35.751543,-83.109748,Big Creek,,1715.809814,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915517000,GRSM,UNR,,5,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117929600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000270F18DF48C654C0746BA9EED7D94140,171507,0101000020110F000023E7CB21D2A461C1A231592ED83F5041,171185,>1m <=5m,ATBI DATABASE,,1446915517000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310172,3952914,35.701895,-83.098194,Cold Springs Creek-Pigeon River,Gilliland Creek,3755.490234,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915517000,GRSM,UNR,,7,,,Mount Sterling Trail,Old Cataloochee Turnpike,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091059200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000037B9C60408C754C06FB6C57ED4DC4140,171505,0101000020110F00004C30307974A561C167F148EBF7425041,171183,>1m <=5m,ATBI DATABASE,,1446915516000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309172,3955525,35.725228,-83.10986,Big Creek,,3992.006836,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446915516000,GRSM,UNR,,8,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1016841600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000006D14ABFC4ECF54C00C313095F8D14140,171496,0101000020110F0000DAD6251D7CAC61C1E0617F3B9D375041,171174,>1m <=5m,ATBI DATABASE,,1446915511000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297258,3946373,35.640392,-83.239192,Upper Raven Fork,,5111.5,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446915511000,GRSM,UNR,,7,,,Hyatt Ridge Trail,Beech Gap Trailhead Parking #2,Valid,Eutyphlus_similis,Eutyphlus  similis,15987,Similar Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1096675200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
