the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000009145C03F4AFB54C053695EEAF4BD4140,18087,0101000020110F00001375D09BD6D161C11CBD79FAB7225041,17331,>1m <=5m,ATBI DATABASE,,1446833149000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234505,3930660,35.48403,-83.926403,Chilhowee Lake,,2145.195557,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446833149000,GRSM,UNR,,8,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000C811FEE7FEF554C072C3A8D14FBA4140,18107,0101000020110F000069E4FC8357CD61C1D156AEEBEA1E5041,17351,>1m <=5m,ATBI DATABASE,,1446833158000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241921,3927281,35.455554,-83.843679,Lake Cheoah-Little Tennessee River,,1575.787842,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833158000,GRSM,UNR,,10,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000F1992EBC59F554C01BCAE17739BA4140,18109,0101000020110F0000E799553CCBCC61C14E06F19DD31E5041,17353,>1m <=5m,ATBI DATABASE,,1446833159000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242834,3927179,35.454872,-83.833598,Lake Cheoah-Little Tennessee River,,1823.922363,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833159000,GRSM,UNR,,9,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000000D58F6E072F554C087BA7EB73CBA4140,18108,0101000020110F00007D071897E0CC61C1C9610201D71E5041,17352,>1m <=5m,ATBI DATABASE,,1446833159000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242695,3927194,35.454971,-83.835133,Lake Cheoah-Little Tennessee River,,1757.798828,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833159000,GRSM,UNR,,10,,,Fairfax/Old Payne (Palmer) Access,Payne Cemetery Access Road,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000092303E92B3F654C06A87BA6D31BA4140,18106,0101000020110F0000171257F4F0CD61C18DC60B3CCB1E5041,17350,>1m <=5m,ATBI DATABASE,,1446833158000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240917,3927207,35.454627,-83.854706,Lake Cheoah-Little Tennessee River,,1694.576782,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833158000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000D18EA7BAC7F754C0F1F031671CBB4140,18105,0101000020110F0000E31FD37EDBCE61C150D0A43CC01F5041,17349,>1m <=5m,ATBI DATABASE,,1446833157000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239410,3928047,35.461797,-83.871561,Lake Cheoah-Little Tennessee River,,1636.599854,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833157000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000004BAD347FE5EF54C04C1593DE87BD4140,18114,0101000020110F00008683FF6829C861C18DA9973E46225041,17357,>1m <=5m,ATBI DATABASE,,1446833162000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250650,3929826,35.480702,-83.748378,Hazel Creek,Shehan Branch,2110.840332,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833162000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive West,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000005195004681EF54C0A302892891BD4140,18115,0101000020110F0000A3BD534AD4C761C17AD3BBEE4F225041,17358,>1m <=5m,ATBI DATABASE,,1446833162000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251206,3929842,35.480986,-83.742261,Hazel Creek,Shehan Branch,2148.428711,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833162000,GRSM,UNR,,9,,,Lakeshore Trail,Lakeview Drive West,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B903AABC53EA54C0AC2DBD8923B84140,18119,0101000020110F000020E804836EC361C102C1DFFAA61C5041,17362,>1m <=5m,ATBI DATABASE,,1446833164000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258421,3924936,35.438578,-83.661357,Lower Fontana Lake-Little Tennessee River,,1759.487549,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833164000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000001EAE86D821E954C06C41A7DB2AB94140,18120,0101000020110F00002C97E4B76AC261C135D3F57BB91D5041,17363,>1m <=5m,ATBI DATABASE,,1446833165000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260140,3925782,35.446614,-83.642687,Lower Fontana Lake-Little Tennessee River,,1762.880371,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833165000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000D79D4CAE12E954C04653819035B94140,18121,0101000020110F00004F6BB7D65DC261C1782660A5C41D5041,17364,>1m <=5m,ATBI DATABASE,,1446833166000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,260225,3925816,35.44694,-83.641761,Lower Fontana Lake-Little Tennessee River,,1779.665405,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446833166000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Quercus_marilandica,Quercus  marilandica,34374,Blackjack Oak,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Fagales, , , , ,Fagaceae, ,~,observed, , ,cert,INHS plant survey
