the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B393700AF3ED54C02A377259DCBB4140,52518,0101000020110F0000B4EF3A1282C661C1A611166488205041,51982,>1m <=5m,ATBI DATABASE,,1446852390000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253371,3928302,35.467655,-83.717955,Hazel Creek,Laurel Branch,1955.692139,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852390000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096934400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000731507A790EF54C05A440FDA7DBD4140,52512,0101000020110F00009C440B5AE1C761C130F8E3CB3B225041,51976,>1m <=5m,ATBI DATABASE,,1446852387000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251119,3929779,35.480396,-83.7432,Hazel Creek,Shehan Branch,1973.419434,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852387000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000063658FABECE654C05A6F182850B94140,52557,0101000020110F00007AE7E7B68AC061C158D6875EE01D5041,52019,>1m <=5m,ATBI DATABASE,,1446852411000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263275,3925825,35.447752,-83.608191,Lower Fontana Lake-Little Tennessee River,Chambers Creek,1763.954712,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852411000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007AB9C49B59E054C004BC52C499BF4140,52566,0101000020110F0000A0F5264AF5BA61C10C1C59F76E245041,52027,>1m <=5m,ATBI DATABASE,,1446852416000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272739,3931033,35.496873,-83.505465,Noland Creek,,2514.258545,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852416000,GRSM,UNR,,3,,,Noland Creek Trail,Lakeview Drive East,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065744000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000373A122895DB54C095686A95BDBC4140,52596,0101000020110F0000A1936AC2E8B661C1C4EA664673215041,52056,>1m <=5m,ATBI DATABASE,,1446852433000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279436,3928385,35.474529,-83.430975,Deep Creek,Hammer Branch,2031.216309,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852433000,GRSM,UNR,,8,,,Deep Creek Horse Trail,Tom Branch Road,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BFCEA65319DB54C0043876B6EBBD4140,52598,0101000020110F00003F6F3D977FB661C106123E61AE225041,52058,>1m <=5m,ATBI DATABASE,,1446852434000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280147,3929391,35.483749,-83.423417,Deep Creek,Deep Creek,1939.737793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852434000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000008A368BA05CD154C0FC756F91B0E14140,52612,0101000020110F0000EA214A8A3AAE61C1EA868ABA0D485041,52072,>1m <=5m,ATBI DATABASE,,1446852442000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294668,3960063,35.763194,-83.271275,Cosby Creek,Cole Creek,2091.817383,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852442000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969840000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000D34D20F4C5CC54C04FD1907F93E04140,52617,0101000020110F0000F5D8BDE354AA61C11E86C55FE3465041,52078,>1m <=5m,ATBI DATABASE,,1446852446000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301129,3958950,35.754494,-83.199578,Cosby Creek,,2471.418213,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852446000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Campground Road B,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007C834B3479C754C063EB5548DFDF4140,52632,0101000020110F000082FA1A9AD4A561C1E067DDC626465041,52092,>1m <=5m,ATBI DATABASE,,1446852453000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308604,3958175,35.748995,-83.116769,Big Creek,Big Creek,1902.103638,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852453000,GRSM,UNR,,9,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000811E0A6924CA54C0B64A688625DD4140,52626,0101000020110F000001DA5CD918A861C1A43EC8B04C435041,52086,>1m <=5m,ATBI DATABASE,,1446852450000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304781,3955895,35.727701,-83.158468,Big Creek,Big Creek,2838.546387,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852450000,GRSM,UNR,,5,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970012800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E9A9820F4DC854C0FCE54B63CCD14140,52630,0101000020110F0000E144178888A661C11F13090C6F375041,52090,>1m <=5m,ATBI DATABASE,,1446852452000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307170,3946003,35.639043,-83.129699,Upper Cataloochee Creek,Palmer Creek,2997.938965,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446852452000,GRSM,UNR,,4,,,Palmer Creek Trail,Cataloochee Horse Camp,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,905385600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000AF14926467C354C0D4735DC8C8D24140,52644,0101000020110F000006698CCA5FA261C1D563EBD176385041,52105,>1m <=5m,ATBI DATABASE,,1446852459000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314117,3946710,35.646746,-83.053182,Lower Cataloochee Creek,Hoglen Branch,3699.446533,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446852459000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898473600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000DF859EAE3DC554C0033B61363FCF4140,52642,0101000020110F00007C754035EFA361C19AC3378BC4345041,52103,>1m <=5m,ATBI DATABASE,,1446852458000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311453,3943699,35.61911,-83.081886,Upper Cataloochee Creek,Den Branch,3284.416992,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446852458000,GRSM,UNR,,4,,,Boogerman Trail,Cataloochee Campground Loop Road,Valid,Solidago_curtisii,Solidago  curtisii,37373,Curtis' Goldenrod,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1033689600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
