the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000005150C401B8F754C0CC4A2F4B6ABC4140,74249,0101000020110F0000CA807C24CECE61C1656C0E6A1C215041,73620,>1m <=5m,ATBI DATABASE,,1446864753000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239530,3929175,35.471987,-83.870602,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1487.986572,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864753000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000CF6CADE87CF754C0830A311815BC4140,74250,0101000020110F0000339058F39BCE61C170C3B890C3205041,73621,>1m <=5m,ATBI DATABASE,,1446864753000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239849,3928877,35.469387,-83.866995,Lake Cheoah-Little Tennessee River,Twentymile Creek,1593.055664,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864753000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003E590123E7F154C08A9D77034FBE4140,74324,0101000020110F00005F5506A5DDC961C1FFFB0AF415235041,73686,>1m <=5m,ATBI DATABASE,,1446864787000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247824,3930580,35.486779,-83.779728,Eagle Creek,Lost Cove Creek,1805.893677,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864787000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000019B3CA84F3F154C0AE8738A84DBB4140,74323,0101000020110F0000721C2029E8C961C11A5A7C98F31F5041,73685,>1m <=5m,ATBI DATABASE,,1446864786000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247682,3927977,35.463301,-83.780484,Eagle Creek,Augerhole Branch,1827.511597,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864786000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000008241CA36CDF254C0943FB29524BB4140,74321,0101000020110F0000ED66A10CA1CA61C14DA5A1C4C81F5041,73683,>1m <=5m,ATBI DATABASE,,1446864785000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246472,3927872,35.462047,-83.793771,Eagle Creek,,1814.266846,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864785000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082851200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000059FCD47B61F354C03DCEF9D886BB4140,74315,0101000020110F0000D7DF8EF91ECB61C13FAE2F3B2F205041,73678,>1m <=5m,ATBI DATABASE,,1446864783000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245660,3928228,35.465046,-83.802821,Lower Fontana Lake-Little Tennessee River,Payne Branch,1794.760986,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864783000,GRSM,UNR,,8,,,Lakeshore Trail,Lakeview Drive West,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E9F05C5415EE54C03C1E5B1867BC4140,74340,0101000020110F00008BBF52319FC661C1571E231419215041,73702,>1m <=5m,ATBI DATABASE,,1446864795000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253194,3928777,35.471889,-83.720048,Hazel Creek,Hazel Creek,1745.265625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864795000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051660800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000759E25866CED54C09C64E37588BD4140,74343,0101000020110F0000CCD579D30FC661C1186668DC46225041,73705,>1m <=5m,ATBI DATABASE,,1446864797000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254156,3929731,35.48072,-83.709745,Hazel Creek,Hazel Creek,1864.932129,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864797000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000000BF575922DED54C033BE1691B4BC4140,74345,0101000020110F000031286B5CDAC561C1277914DF69215041,73707,>1m <=5m,ATBI DATABASE,,1446864798000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254485,3929004,35.474254,-83.705902,Hazel Creek,Rowan Branch,2022.461426,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864798000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000178B536B49ED54C033FF0D86ACBC4140,74344,0101000020110F0000D462F702F2C561C107ADBF7B61215041,73706,>1m <=5m,ATBI DATABASE,,1446864798000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254330,3928981,35.474008,-83.707602,Hazel Creek,Hazel Creek,1938.698975,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864798000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000E1629654C5ED54C0540D4E86DBBC4140,74342,0101000020110F00009AE7D73F5BC661C1CB5F118092215041,73704,>1m <=5m,ATBI DATABASE,,1446864797000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253648,3929159,35.475443,-83.715165,Hazel Creek,Hazel Creek,1798.43335,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864797000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Viola_blanda_variety,Viola  blanda variety,42309,Sweet White Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
