the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002AB17F5F42E454C01BAFEDABBABB4140,202293,0101000020110F00002938443D47BE61C1C9AFA24565205041,202138,>1m <=5m,ATBI DATABASE,,1446933358000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267110,3927820,35.466627,-83.566547,Forney Creek,Forney Creek,1925.609375,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933358000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1078617600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,by hand,No, ,cert,ATBI
0101000020E6100000BA115DEADCE554C0CAC4F457E4BD4140,202292,0101000020110F0000E2EDC3E9A3BF61C17A069BB1A6225041,202137,>1m <=5m,ATBI DATABASE,,1446933357000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264885,3929754,35.483524,-83.591605,Forney Creek,,2765.958984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933357000,GRSM,UNR,,6,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1055635200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,black light trap, , ,cert,Antimycin-A
0101000020E610000019752CD0DDDB54C0BBD5C33C90BA4140,202316,0101000020110F0000F53A7D7726B761C1768E35162E1F5041,202161,>1m <=5m,ATBI DATABASE,,1446933372000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278987,3926508,35.45752,-83.435409,Deep Creek,,1944.378174,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933372000,GRSM,UNR,,7,,,Noland Divide Trail,East Deep Creek Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964569600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,black light trap, , ,cert,General
0101000020E6100000818AD17013CE54C0277587F6ECDE4140,202322,0101000020110F0000FDC7CB1E70AB61C1D7F6383529455041,202166,>1m <=5m,ATBI DATABASE,,1446933375000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299256,3957561,35.7416,-83.219933,Cosby Creek,Inadu Creek,3408.606934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933375000,GRSM,UNR,,8,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,996624000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000C937B3A7CEC754C0C476ED8EA9CE4140,202324,0101000020110F00008AD0E42C1DA661C1D46CB43128345041,202168,>1m <=5m,ATBI DATABASE,,1446933376000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307810,3943270,35.614543,-83.121984,Upper Cataloochee Creek,Rough Fork,2843.140869,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446933376000,GRSM,UNR,,5,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,605836800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,black light trap,No, ,cert,Lepidoptera Survey
0101000020E610000057AEFEA2A0DF54C0D2F5689DBDC44140,202314,0101000020110F0000D03A6D3158BA61C14C311BF9CB295041,202159,>1m <=5m,ATBI DATABASE,,1446933371000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273876,3935462,35.53703,-83.494175,Noland Creek,,5328.973633,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933371000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1028678400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E61000007983DA95B4DF54C004E770D37DC74140,202309,0101000020110F0000FEF2AE2269BA61C1909A7A0EAB2C5041,202154,>1m <=5m,ATBI DATABASE,,1446933368000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273826,3937849,35.558521,-83.495393,Forney Creek,,6406.759766,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933368000,GRSM,UNR,,6,,,Clingmans Dome Trail,Clingmans Dome Access Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995328000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E610000059ADD57CA7DA54C0D2D3613494CF4140,202320,0101000020110F000092853CE81EB661C122CDB1571D355041,202164,>1m <=5m,ATBI DATABASE,,1446933374000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281153,3944680,35.621703,-83.416469,West Prong Little Pigeon River Upper,,4906.560547,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933374000,GRSM,UNR,,7,,,Appalachian Trail,Newfound Gap Road North,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1126828800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,sweeping,No,day,cert,ATBI
0101000020E610000072892D81F7DF54C08599949491D74140,202304,0101000020110F0000639052F8A1BA61C172DEAB31773D5041,202149,>1m <=5m,ATBI DATABASE,,1446933365000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273810,3951793,35.684123,-83.499477,Le Conte Creek,Le Conte Creek,2134.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933365000,GRSM,UNR,,7,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1026777600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000B60BE41110DD54C0735923C745D64140,202315,0101000020110F0000BC9917922AB861C176BEC6461C3C5041,202160,>1m <=5m,ATBI DATABASE,,1446933371000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277889,3950566,35.673998,-83.454102,Roaring Fork,,3905.759277,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933371000,GRSM,UNR,,2,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023062400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,unspecified, , ,cert,ATBI Aquatic TWiG
0101000020E61000008A145B25FEDB54C03459B7DC81D54140,202317,0101000020110F000061744DED41B761C11A8FE4744F3B5041,202162,>1m <=5m,ATBI DATABASE,,1446933372000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279386,3949865,35.668019,-83.437383,Roaring Fork,,4753.008301,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933372000,GRSM,UNR,,6,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023062400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,unspecified, , ,cert,ATBI Aquatic TWiG
