the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AA5B9126EBED54C005F91FC156BD4140,149742,0101000020110F00004D99C05E7BC661C1AB48020513225041,149419,>1m <=5m,ATBI DATABASE,,1446903189000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253450,3929582,35.479203,-83.717473,Hazel Creek,,2082.106689,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903189000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089244800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000059AD89EEA1E254C0838EFC1F32BB4140,149751,0101000020110F0000230E3E8EE5BC61C1442E08E3D61F5041,149428,>1m <=5m,ATBI DATABASE,,1446903194000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269405,3927298,35.46246,-83.541129,Noland Creek,,2369.100586,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903194000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088294400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F1BD7BB741E354C07D6CD15D2DBA4140,149749,0101000020110F0000CA55D3426DBD61C16413CEFFC61E5041,149426,>1m <=5m,ATBI DATABASE,,1446903193000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268497,3926438,35.454503,-83.550882,Fontana Lake-Tuckasegee River,Goldmine Branch,1861.640625,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903193000,GRSM,UNR,,7,,,Goldmine Loop Trail,Lakeview Drive East Parking #4,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BFCEA65319DB54C0043876B6EBBD4140,149763,0101000020110F00003F6F3D977FB661C106123E61AE225041,149437,>1m <=5m,ATBI DATABASE,,1446903199000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280147,3929391,35.483749,-83.423417,Deep Creek,Deep Creek,1939.737793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903199000,GRSM,UNR,,6,,,Deep Creek Trail,Tom Branch Road,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CFA50EAB45D154C0340B0C17C1E14140,149764,0101000020110F00001CD3890A27AE61C1AF2E84051F485041,149438,>1m <=5m,ATBI DATABASE,,1446903199000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294796,3960116,35.763698,-83.269873,Cosby Creek,,2097.373047,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446903199000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000009D2B40974DCA54C0AB74F61CB8E14140,149772,0101000020110F0000D6ADDDD23BA861C188CD31A015485041,149451,>1m <=5m,ATBI DATABASE,,1446903206000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304641,3959863,35.763424,-83.160982,Big Creek,Chestnut Branch,4899.053711,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446903206000,GRSM,UNR,,7,,,Mount Cammerer Trail,Cosby Campground Road B,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645753600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007CE4190BD5C754C0D4ADC635E5D94140,149773,0101000020110F0000DE27D79922A661C129725511E63F5041,149452,>1m <=5m,ATBI DATABASE,,1446903206000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307985,3953006,35.702301,-83.122374,Big Creek,Correll Branch,5829.166504,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446903206000,GRSM,UNR,,6,,,Baxter Creek Trail,Old Cataloochee Turnpike,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994982400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000592E9A1C7EC754C0BCEABA1DC5DF4140,149774,0101000020110F0000AB6A16C5D8A561C10BC6FE640B465041,149453,>1m <=5m,ATBI DATABASE,,1446903207000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308575,3958087,35.748196,-83.117068,Big Creek,Big Creek,1876.787476,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446903207000,GRSM,UNR,,2,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961545600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000012B5798B83CE54C05FB3DAD879DF4140,149771,0101000020110F00003E089354CFAB61C1B2F624A1BC455041,149450,>1m <=5m,ATBI DATABASE,,1446903205000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298648,3958052,35.745899,-83.226775,Cosby Creek,Crying Creek,3733.500488,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446903205000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003F953311DFC554C0DA67517C95CF4140,149776,0101000020110F0000924FBD4578A461C106C252AE1E355041,149455,>1m <=5m,ATBI DATABASE,,1446903208000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310567,3944010,35.621743,-83.091736,Upper Cataloochee Creek,Caldwell Fork,3023.883057,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446903208000,GRSM,UNR,,7,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898128000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000065A318C597C654C01CFF7F4831C84140,149775,0101000020110F00008F56F72315A561C15BEBA569662D5041,149454,>1m <=5m,ATBI DATABASE,,1446903207000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309409,3937626,35.563997,-83.103009,Lower Johnathans Creek,,5509.786133,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446903207000,GRSM,UNR,,6,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Danthonia_compressa,Danthonia  compressa,11580,Flattened Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
