the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E624015B1FF754C0F44E983F45BC4140,58501,0101000020110F00003B94E17E4CCE61C156041EC8F5205041,57950,>1m <=5m,ATBI DATABASE,,1446855786000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240372,3929025,35.470856,-83.861285,Lake Cheoah-Little Tennessee River,Twentymile Creek,1736.993652,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855786000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001625B94045D954C0F55D35C2E7BE4140,58531,0101000020110F0000822A310EF2B461C1B0CB3747B5235041,57978,>1m <=5m,ATBI DATABASE,,1446855802000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282760,3930181,35.491441,-83.394848,Deep Creek,,3153.596924,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855802000,GRSM,UNR,,5,,,Indian Creek Motor Trail,Galbraith Creek Rd,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056412800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000DA69437CE2DB54C0D7CFDECAA6BA4140,58528,0101000020110F00009519546F2AB761C1DFD4B49A451F5041,57976,>1m <=5m,ATBI DATABASE,,1446855801000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278963,3926585,35.458208,-83.435695,Deep Creek,,1853.579346,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855801000,GRSM,UNR,,3,,,Noland Divide Trail,Deep Creek Maintenance And Residence Road,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1378252800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand,No,day,cert,ATBI
0101000020E610000041E8AD759ACE54C0359B34FEDEE04140,58532,0101000020110F00001840BECAE2AB61C1212A416232475041,57979,>1m <=5m,ATBI DATABASE,,1446855802000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298549,3959264,35.756798,-83.228173,Cosby Creek,,2686.51001,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855802000,GRSM,UNR,,2,,,Gabes Mountain Trail,Cosby Campground Road A,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932860800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000000AD54F905CCD54C0ED664FD462D04140,58535,0101000020110F000017AE85CDD4AA61C17DAFBE3BF5355041,57982,>1m <=5m,ATBI DATABASE,,1446855804000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299982,3944937,35.628009,-83.208771,Straight Fork Raven Fork,,3404.132812,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446855804000,GRSM,UNR,,9,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000EDB9B77BE9CD54C0289672F682D14140,58534,0101000020110F0000052E607C4CAB61C117A1075122375041,57981,>1m <=5m,ATBI DATABASE,,1446855803000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,299225,3945930,35.636802,-83.217372,Straight Fork Raven Fork,Table Rock Branch,3307.49707,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446855803000,GRSM,UNR,,6,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,959731200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000E9E0297C27CD54C0B58A6F494AD14140,58536,0101000020110F0000BB851AB9A7AA61C1962E4217E7365041,57983,>1m <=5m,ATBI DATABASE,,1446855805000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300293,3945714,35.635073,-83.205531,Straight Fork Raven Fork,Thumper Branch,4163.141602,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446855805000,GRSM,UNR,,2,,,Beech Gap Trail,Balsam Mountain Road (closed Winter),Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000054A4FDCD13DF54C023110F72A8D54140,58524,0101000020110F00001A589995E0B961C1F6C3D6CA773B5041,57972,>1m <=5m,ATBI DATABASE,,1446855798000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275026,3950105,35.669196,-83.48558,Le Conte Creek,Le Conte Creek,2990.438721,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446855798000,GRSM,UNR,,6,,,Rainbow Falls Trail,"Rainbow Falls, Bull Head Parking A",Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,869443200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007651ED99C6DC54C0853CD08452D64140,58527,0101000020110F0000578E7B2CECB761C152C0D398293C5041,57975,>1m <=5m,ATBI DATABASE,,1446855800000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278296,3950599,35.674386,-83.449618,Roaring Fork,Roaring Fork,3746.312988,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446855800000,GRSM,UNR,,9,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903571200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000029140D45E6DD54C05C8E737569D44140,58526,0101000020110F0000FE6D9C7DE0B861C130EDFD552A3A5041,57974,>1m <=5m,ATBI DATABASE,,1446855800000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276665,3948983,35.659461,-83.467176,Le Conte Creek,,4235.84082,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446855800000,GRSM,UNR,,2,,,Rainbow Falls Trail,Roaring Fork Motor Nature Trail,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900892800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002A5AACEDF5DB54C0152AC78AB8D54140,58530,0101000020110F00004AF2A4F23AB761C1D56AC19E883B5041,57977,>1m <=5m,ATBI DATABASE,,1446855801000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279436,3950049,35.669687,-83.436881,Roaring Fork,Surry Fork,4491.190918,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446855801000,GRSM,UNR,,7,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,897955200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
